First guess: slate

Second guess:
⬛⬛⬛⬛⬛ courd
⬛⬛⬛⬛🟨 diner
⬛⬛⬛⬛🟩 crudo
⬛⬛⬛🟨⬛ corni
⬛⬛⬛🟨🟨 ceder
⬛⬛⬛🟨🟩 chirp
⬛⬛⬛🟩⬛ yourn
⬛⬛⬛🟩🟨 pinch
⬛⬛⬛🟩🟩 bourn
⬛⬛🟨⬛⬛ caron
⬛⬛🟨⬛🟨 damar
⬛⬛🟨⬛🟩 bardo
⬛⬛🟨🟨⬛ nidor
⬛⬛🟨🟨🟨 treed
⬛⬛🟨🟨🟩 atone
⬛⬛🟨🟩⬛ carny
⬛⬛🟨🟩🟨 earth
⬛⬛🟨🟩🟩 acute
⬛⬛🟩⬛⬛ churn
⬛⬛🟩⬛🟨 ambry
⬛⬛🟩⬛🟩 brick
⬛⬛🟩🟨⬛ chirt
⬛⬛🟩🟨🟨 bench
⬛⬛🟩🟨🟩 trace
⬛⬛🟩🟩⬛ wrath
⬛⬛🟩🟩🟨 aahed
⬛⬛🟩🟩🟩 acing
⬛🟨⬛⬛⬛ grody
⬛🟨⬛⬛🟨 neper
⬛🟨⬛⬛🟩 bingo
⬛🟨⬛🟨⬛ guyot
⬛🟨⬛🟨🟨 hoten
⬛🟨⬛🟨🟩 ahind
⬛🟨⬛🟩⬛ filth
⬛🟨⬛🟩🟨 lefty
⬛🟨🟨⬛⬛ milor
⬛🟨🟨⬛🟨 rangy
⬛🟨🟨⬛🟩 aping
⬛🟨🟨🟨⬛ taint
⬛🟨🟨🟨🟨 fumet
⬛🟨🟨🟨🟩 lathe
⬛🟨🟨🟩⬛ waltz
⬛🟨🟨🟩🟨 delta
⬛🟨🟨🟩🟩 latte
⬛🟨🟩⬛⬛ curia
⬛🟨🟩⬛🟨 crimp
⬛🟨🟩⬛🟩 leave
⬛🟨🟩🟨⬛ trail
⬛🟨🟩🟨🟨 bends
⬛🟨🟩🟩⬛ loath
⬛🟩⬛⬛⬛ bunco
⬛🟩⬛⬛🟨 eider
⬛🟩⬛⬛🟩 eikon
⬛🟩⬛🟨⬛ barfi
⬛🟩⬛🟨🟨 abaca
⬛🟩⬛🟩⬛ blitz
⬛🟩⬛🟩🟩 elite
⬛🟩🟨⬛⬛ auloi
⬛🟩🟨⬛🟨 kreng
⬛🟩🟨⬛🟩 ajiva
⬛🟩🟨🟨⬛ abaft
⬛🟩🟨🟨🟨 abcee
⬛🟩🟩⬛⬛ prick
⬛🟩🟩⬛🟩 brand
⬛🟩🟩🟨⬛ plait
⬛🟩🟩🟩🟩 elate
🟨⬛⬛⬛⬛ crios
🟨⬛⬛⬛🟨 rohes
🟨⬛⬛⬛🟩 cornu
🟨⬛⬛🟨⬛ trois
🟨⬛⬛🟨🟨 ceres
🟨⬛⬛🟨🟩 abhor
🟨⬛⬛🟩⬛ dogma
🟨⬛⬛🟩🟨 adoze
🟨⬛🟨⬛⬛ missy
🟨⬛🟨⬛🟨 aahed
🟨⬛🟨⬛🟩 abrim
🟨⬛🟨🟨⬛ abbot
