First guess: trace

Second guess:
⬛⬛⬛⬛⬛ soily
⬛⬛⬛⬛🟨 lined
⬛⬛⬛⬛🟩 sling
⬛⬛⬛🟨⬛ muils
⬛⬛⬛🟨🟨 coley
⬛⬛⬛🟨🟩 chons
⬛⬛⬛🟩⬛ cuish
⬛⬛⬛🟩🟨 bleep
⬛⬛⬛🟩🟩 noups
⬛⬛🟨⬛⬛ sonly
⬛⬛🟨⬛🟨 anlas
⬛⬛🟨⬛🟩 lambs
⬛⬛🟨🟨⬛ monal
⬛⬛🟨🟨🟨 coled
⬛⬛🟨🟨🟩 abash
⬛⬛🟨🟩⬛ fancy
⬛⬛🟨🟩🟨 mecca
⬛⬛🟨🟩🟩 aband
⬛⬛🟩⬛⬛ shuln
⬛⬛🟩⬛🟨 child
⬛⬛🟩⬛🟩 plush
⬛⬛🟩🟨⬛ blips
⬛⬛🟩🟨🟩 abash
⬛⬛🟩🟩⬛ blush
⬛⬛🟩🟩🟨 abamp
⬛⬛🟩🟩🟩 abele
⬛🟨⬛⬛⬛ soily
⬛🟨⬛⬛🟨 dines
⬛🟨⬛⬛🟩 sough
⬛🟨⬛🟨⬛ choir
⬛🟨⬛🟨🟨 chirr
⬛🟨⬛🟨🟩 acers
⬛🟨⬛🟩⬛ aalii
⬛🟨⬛🟩🟨 mercy
⬛🟨⬛🟩🟩 force
⬛🟨🟨⬛⬛ pylon
⬛🟨🟨⬛🟨 palsy
⬛🟨🟨⬛🟩 abris
⬛🟨🟨🟨⬛ carom
⬛🟨🟨🟨🟨 aheap
⬛🟨🟨🟨🟩 carve
⬛🟨🟨🟩⬛ aargh
⬛🟨🟨🟩🟩 farce
⬛🟨🟩⬛⬛ dhows
⬛🟨🟩⬛🟨 badly
⬛🟨🟩⬛🟩 abash
⬛🟨🟩🟨⬛ acidy
⬛🟨🟩🟨🟩 scare
⬛🟨🟩🟩⬛ roach
⬛🟨🟩🟩🟨 reach
⬛🟩⬛⬛⬛ bidon
⬛🟩⬛⬛🟨 defer
⬛🟩⬛⬛🟩 ponds
⬛🟩⬛🟨⬛ psion
⬛🟩⬛🟨🟨 eiked
⬛🟩⬛🟨🟩 adeem
⬛🟩⬛🟩⬛ bacco
⬛🟩⬛🟩🟨 wreck
⬛🟩⬛🟩🟩 price
⬛🟩🟨⬛⬛ aboon
⬛🟩🟨⬛🟨 aband
⬛🟩🟨⬛🟩 abies
⬛🟩🟨🟨⬛ croak
⬛🟩🟨🟨🟨 creak
⬛🟩🟩⬛⬛ blind
⬛🟩🟩⬛🟩 damps
⬛🟩🟩🟨⬛ amyls
⬛🟩🟩🟨🟩 anvil
⬛🟩🟩🟩⬛ crack
⬛🟩🟩🟩🟩 brace
🟨⬛⬛⬛⬛ hoist
🟨⬛⬛⬛🟨 peels
🟨⬛⬛⬛🟩 muils
🟨⬛⬛🟨⬛ afoul
🟨⬛⬛🟨🟨 cames
🟨⬛⬛🟨🟩 chute
🟨⬛⬛🟩⬛ hound
🟨⬛⬛🟩🟨 bedel
🟨⬛🟨⬛⬛ alist
🟨⬛🟨⬛🟨 peles
🟨⬛🟨⬛🟩 bahus
🟨⬛🟨🟨⬛ atopy
🟨⬛🟨🟨🟨 abled
🟨⬛🟨🟨🟩 acute
🟨⬛🟨🟩⬛ blimp
🟨⬛🟩⬛⬛ slink
🟨⬛🟩⬛🟨 hwyls
🟨⬛🟩⬛🟩 glops
🟨⬛🟩🟨⬛ abase
🟨⬛🟩🟩⬛ stack
🟨⬛🟩🟩🟨 enact
🟨🟨⬛⬛⬛ horst
🟨🟨⬛⬛🟨 metes
🟨🟨⬛⬛🟩 aarti
🟨🟨⬛🟨⬛ court
🟨🟨⬛🟨🟨 recut
🟨🟨⬛🟩🟨 retch
🟨🟨🟨⬛⬛ alway
🟨🟨🟨⬛🟨 almeh
🟨🟨🟨🟨⬛ actor
🟨🟨🟨🟨🟨 cater
🟨🟨🟩⬛⬛ muist
🟨🟨🟩⬛🟨 heart
🟨🟨🟩⬛🟩 stare
🟨🟨🟩🟨⬛ chart
🟨🟨🟩🟩🟨 react
🟨🟩⬛⬛⬛ bonus
🟨🟩⬛⬛🟨 abbes
🟨🟩⬛⬛🟩 abaci
🟨🟩⬛🟨⬛ crust
🟨🟩⬛🟨🟨 crept
🟨🟩⬛🟩🟨 erect
🟨🟩🟨⬛⬛ artsy
🟨🟩🟨⬛🟨 great
🟨🟩🟩⬛⬛ adhan
🟨🟩🟩⬛🟩 grate
🟨🟩🟩🟨⬛ craft
🟨🟩🟩🟨🟩 crate
🟩⬛⬛⬛⬛ biogs
🟩⬛⬛⬛🟨 mened
🟩⬛⬛⬛🟩 shell
🟩⬛⬛🟨⬛ apron
🟩⬛⬛🟩⬛ thick
🟩⬛⬛🟩🟩 twice
🟩⬛🟨⬛⬛ noily
🟩⬛🟨⬛🟨 aahed
🟩⬛🟨⬛🟩 table
🟩⬛🟨🟨⬛ tacit
🟩⬛🟩⬛⬛ aargh
🟩⬛🟩⬛🟩 tease
🟩⬛🟩🟩🟨 teach
🟩🟨⬛⬛⬛ butoh
🟩🟨⬛⬛🟨 bewig
🟩🟨⬛⬛🟩 aahed
🟩🟨⬛🟩⬛ torch
🟩🟨🟨⬛⬛ abhor
🟩🟨🟨⬛🟨 amped
🟩🟨🟩⬛⬛ tiara
🟩🟨🟩⬛🟨 teary
🟩🟩⬛⬛⬛ alums
🟩🟩⬛⬛🟨 aahed
🟩🟩⬛⬛🟩 bebop
🟩🟩⬛🟩⬛ trick
🟩🟩⬛🟩🟩 trice
🟩🟩🟨⬛⬛ triad
🟩🟩🟨⬛🟨 tread
🟩🟩🟩⬛⬛ alist
🟩🟩🟩⬛🟩 trade
🟩🟩🟩🟩⬛ track
🟩🟩🟩🟩🟩 trace
Worst case remaining words: 141
